red,green,blue,purple
"[[-0.06315301 -0.06315301 -0.06315301 -0.06315301 -0.06315301 -0.2625286
   0.07203968 -0.31322032  0.17603289 -0.21500033  0.16070275 -0.15651296
   0.06471203 -0.15853472  0.07610041 -0.19967399  0.10040848]
 [-0.00529518 -0.00529518 -0.00529518 -0.00529518 -0.00529518 -0.17456282
  -0.20771525 -0.24340536 -0.28205948 -0.11163255 -0.15464698 -0.20763997
  -0.19566633 -0.18576964 -0.14868352 -0.23461074 -0.18980051]
 [ 1.50031449  1.50031449  1.50031449  1.50031449  1.50031449  1.30604108
   1.34253897  1.00120426  1.05614723  0.80034199  0.83991657  0.75007081
   0.76573963  0.36156745  0.36078501 -0.02438763 -0.03523303]]","[[-0.14103741 -0.14103741 -0.14103741 -0.14103741 -0.14103741  0.18533959
  -0.15218665  0.26456145 -0.17838423  0.33308212 -0.25211432  0.14096655
  -0.05668389  0.17017868 -0.07568211  0.26892614 -0.03907499]
 [ 1.15335962  1.15335962  1.15335962  1.15335962  1.15335962  1.29889684
   1.40592381  1.34270685  1.46471835  1.34278715  1.38625695  1.37571523
   1.39365565  1.27440852  1.2825032   1.44705352  1.30123413]
 [ 1.51429438  1.51429438  1.51429438  1.51429438  1.51429438  1.34920821
   1.348957    1.04435235  1.05185417  0.79362807  0.83303663  0.79232267
   0.8138153   0.38829446  0.39822401  0.10759655  0.00932678]]","[[ 0.87720069  0.87720069  0.87720069  0.87720069  0.87720069  0.98104981
   1.07902446  1.00769304  1.17736707  0.88676551  1.04919123  0.96525492
   1.04142264  1.00543743  1.08300228  1.04990817  1.15155332]
 [ 0.21504405  0.21504405  0.21504405  0.21504405  0.21504405 -0.03527547
   0.30102257 -0.20616621  0.49324109 -0.08505002  0.36032196  0.02608125
   0.24708721  0.00363271  0.2338367  -0.0357874   0.21469759]
 [ 1.57255238  1.57255238  1.57255238  1.57255238  1.57255238  1.38770822
   1.38300705  1.12916372  1.17104275  0.9613939   0.99540632  0.81071145
   0.80852598  0.37172621  0.36985196 -0.04034187 -0.02740869]]","[[-1.23186364 -1.23186364 -1.23186364 -1.23186364 -1.23186364 -1.52526623
  -1.21801481 -1.55504051 -0.96216909 -1.57767795 -0.90538775 -1.48944182
  -1.2766465  -1.48352895 -1.26534822 -1.32180653 -1.15809842]
 [ 1.32748961  1.32748961  1.32748961  1.32748961  1.32748961  1.09241906
   1.31931029  1.04206246  1.34964287  1.18993846  1.45803785  1.16008879
   1.29941421  1.16507866  1.34141896  1.14146737  1.32567643]
 [ 1.44986108  1.44986108  1.44986108  1.44986108  1.44986108  1.27260548
   1.29714488  0.99877648  1.03165782  0.91700929  0.91249731  0.76249453
   0.76146288  0.35850364  0.3509324   0.04970329  0.04955547]]"
"[[ 0.09984206  0.09984206  0.09984206  0.09984206  0.09984206 -0.1566828
   0.18598745 -0.21724097  0.27644854 -0.13532677  0.22530496 -0.08422132
   0.14955018 -0.11854083  0.11933404 -0.19407756  0.10507586]
 [-0.01999074 -0.01999074 -0.01999074 -0.01999074 -0.01999074 -0.18028514
  -0.19012308 -0.20909045 -0.26518736 -0.07947897 -0.13804284 -0.12592186
  -0.1793002  -0.12912362 -0.1743635  -0.24452099 -0.19021153]
 [ 1.50264067  1.50264067  1.50264067  1.50264067  1.50264067  1.31415156
   1.30806358  1.02008437  1.02944296  0.81372614  0.8482784   0.78308889
   0.75764343  0.35259148  0.34940738 -0.0404275  -0.03140799]]","[[ 0.85904817  0.85904817  0.85904817  0.85904817  0.85904817  0.9661592
   1.06474393  1.05975745  1.17309602  0.92476734  1.03672235  0.95849557
   1.02363034  0.98651165  1.07838279  1.05673706  1.12568194]
 [ 0.22125695  0.22125695  0.22125695  0.22125695  0.22125695 -0.01347178
   0.31063731 -0.22307129  0.49492833 -0.09289345  0.37478561  0.04152818
   0.24780999  0.00689434  0.22952985 -0.03314685  0.22209617]
 [ 1.56672688  1.56672688  1.56672688  1.56672688  1.56672688  1.3964751
   1.3869191   1.15992008  1.16970559  0.99245979  1.00269117  0.80233938
   0.82018868  0.35547785  0.36126078 -0.03659128 -0.05371309]]","[[-2.70835356e-01 -2.70835356e-01 -2.70835356e-01 -2.70835356e-01
  -2.70835356e-01 -5.60381842e-02 -2.73155735e-01  5.20200621e-02
  -2.80429990e-01  1.20951060e-01 -4.15272606e-01 -8.88791957e-02
  -2.00224913e-01 -1.78489212e-01 -1.11304126e-01 -7.35641996e-02
  -4.71663437e-02]
 [ 1.21107637e+00  1.21107637e+00  1.21107637e+00  1.21107637e+00
   1.21107637e+00  1.09343117e+00  1.35326144e+00  1.09921388e+00
   1.47180573e+00  1.13678471e+00  1.36497503e+00  1.12214414e+00
   1.29773388e+00  1.04577172e+00  1.27960722e+00  1.07207443e+00
   1.24718330e+00]
 [ 1.49913363e+00  1.49913363e+00  1.49913363e+00  1.49913363e+00
   1.49913363e+00  1.34613787e+00  1.35312917e+00  1.05241717e+00
   1.07595426e+00  8.19076954e-01  7.99381038e-01  8.17384381e-01
   8.08801373e-01  4.15539497e-01  4.06290261e-01 -6.72015687e-04
  -1.35532240e-02]]"
"[[ 0.18253433  0.18253433  0.18253433  0.18253433  0.18253433 -0.10023849
   0.22667471 -0.1956974   0.29555649 -0.10693896  0.25805408 -0.04709117
   0.15020811 -0.07131795  0.12954848 -0.07496737  0.10994784]
 [-0.00533683 -0.00533683 -0.00533683 -0.00533683 -0.00533683 -0.13227024
  -0.17159033 -0.16861532 -0.24434517 -0.04893925 -0.14387343 -0.1058414
  -0.22245675 -0.04256339 -0.19499491 -0.05462381 -0.20880208]
 [ 1.49754069  1.49754069  1.49754069  1.49754069  1.49754069  1.32010616
   1.31639896  1.04208003  1.05306573  0.83492826  0.85367338  0.78290049
   0.76456501  0.35456119  0.34731128 -0.05298766 -0.05938405]]","[[ 0.84232473  0.84232473  0.84232473  0.84232473  0.84232473  0.95645922
   1.05112386  1.05969973  1.18518295  0.9230094   1.05006216  0.96166156
   1.00471632  0.9976866   1.0793569   1.06677541  1.15971059]
 [ 0.2197489   0.2197489   0.2197489   0.2197489   0.2197489  -0.02256431
   0.30996965 -0.20769509  0.48794923 -0.09206557  0.3696243   0.03363803
   0.24707095  0.01100842  0.23192869 -0.01327161  0.22282133]
 [ 1.55885721  1.55885721  1.55885721  1.55885721  1.55885721  1.39144792
   1.38623557  1.16105866  1.17487529  0.9927903   0.99844782  0.80184704
   0.80556006  0.36585807  0.35553161 -0.03838835 -0.02751443]]","[[-0.34649278 -0.34649278 -0.34649278 -0.34649278 -0.34649278 -0.23350277
  -0.19226603 -0.18694488 -0.11248865 -0.24605127 -0.22692076 -0.2918314
  -0.2290372  -0.33516664 -0.22458782 -0.31136864 -0.15918197]
 [ 0.84986563  0.84986563  0.84986563  0.84986563  0.84986563  0.96454029
   1.19241849  0.91351071  1.27101584  0.76771055  1.21375385  1.03061282
   1.19910772  1.07199999  1.18523167  1.03009094  1.22041734]
 [ 1.3244428   1.3244428   1.3244428   1.3244428   1.3244428   1.29620224
   1.27191557  1.01839035  0.9620179   0.81684548  0.71069153  0.7649704
   0.75465337  0.61505119  0.58440433  0.46532431  0.45697903]]","[[-5.61729339e-01 -5.61729339e-01 -5.61729339e-01 -5.61729339e-01
  -5.61729339e-01 -2.51602573e-01 -3.77948130e-01 -1.95726224e-01
  -3.99954558e-01 -2.34898442e-01 -5.00378265e-01 -2.38028005e-01
  -3.08061575e-01 -4.30805419e-01 -2.40396676e-01 -5.35580809e-01
  -7.47317702e-02]
 [ 1.15492663e+00  1.15492663e+00  1.15492663e+00  1.15492663e+00
   1.15492663e+00  1.01372280e+00  1.31561715e+00  9.17649430e-01
   1.34346449e+00  7.83428819e-01  1.36440924e+00  1.09070582e+00
   1.29077966e+00  1.05109149e+00  1.23691033e+00  1.03067979e+00
   1.25025780e+00]
 [ 1.49767005e+00  1.49767005e+00  1.49767005e+00  1.49767005e+00
   1.49767005e+00  1.34636012e+00  1.35077629e+00  1.04529777e+00
   1.05978345e+00  8.22007678e-01  8.49354299e-01  8.06623246e-01
   7.97123779e-01  4.02594896e-01  3.90779495e-01 -2.76058124e-02
  -1.21434739e-03]]"
"[[ 0.21158955  0.21158955  0.21158955  0.21158955  0.21158955 -0.10733947
   0.17830637 -0.19761542  0.26479974 -0.08919445  0.23803694 -0.04343608
   0.10287853 -0.02829759  0.12303852 -0.00913365  0.11289342]
 [ 0.03055855  0.03055855  0.03055855  0.03055855  0.03055855  0.00262805
  -0.17482279 -0.06147581 -0.23862579  0.04051563 -0.13757757 -0.05503398
  -0.19059221  0.01867392 -0.17429288  0.05524765 -0.14497118]
 [ 1.50525305  1.50525305  1.50525305  1.50525305  1.50525305  1.30388803
   1.32361819  1.01407009  1.03412362  0.82326619  0.85268948  0.75351561
   0.74439146  0.34494727  0.33863779 -0.03672487 -0.02468645]]","[[ 0.83649174  0.83649174  0.83649174  0.83649174  0.83649174  0.95967882
   1.04290303  1.05399725  1.17452825  0.93236131  1.04709683  0.94661567
   1.0232422   1.00233302  1.07635866  1.05715348  1.14796228]
 [ 0.19234162  0.19234162  0.19234162  0.19234162  0.19234162 -0.0142227
   0.31876882 -0.1912737   0.50091368 -0.06736715  0.37989446  0.03597459
   0.25550104  0.01627951  0.23614203 -0.03057747  0.22313638]
 [ 1.56899885  1.56899885  1.56899885  1.56899885  1.56899885  1.38535329
   1.38975745  1.15749134  1.17868656  0.99133396  1.00823378  0.80448386
   0.80634452  0.36929437  0.37770047 -0.04699129 -0.02874093]]","[[-0.72731259 -0.72731259 -0.72731259 -0.72731259 -0.72731259 -0.468132
  -0.52226582 -0.43041372 -0.5178337  -0.57483823 -0.66376855 -0.46899871
  -0.52365352 -0.55424398 -0.58872268 -0.51294883 -0.36007818]
 [ 1.141869    1.141869    1.141869    1.141869    1.141869    0.96740277
   1.29119051  0.89391875  1.37588315  0.82875064  1.30197728  1.01995792
   1.23896716  1.01471463  1.25703451  1.03050024  1.27808419]
 [ 1.53095007  1.53095007  1.53095007  1.53095007  1.53095007  1.36573749
   1.37596436  1.0721124   1.09087644  0.8815305   0.93113017  0.81225737
   0.81669814  0.41315225  0.42041141 -0.02132411  0.07383857]]"
"[[ 0.17583208  0.17583208  0.17583208  0.17583208  0.17583208 -0.14031048
   0.13514327 -0.21241541  0.20196505 -0.08245563  0.22417287 -0.059996
   0.12370398 -0.01671831  0.14750712 -0.01366099  0.09923158]
 [ 0.1658298   0.1658298   0.1658298   0.1658298   0.1658298   0.10246581
  -0.07565569  0.08207301 -0.17564509  0.17148025 -0.0662789   0.04145632
  -0.10305433  0.08365599 -0.05014858  0.07062569 -0.17393605]
 [ 1.4982503   1.4982503   1.4982503   1.4982503   1.4982503   1.30239598
   1.33871328  1.00614454  1.04747798  0.81835792  0.86004443  0.77309085
   0.77127517  0.36011451  0.36833061 -0.03696554 -0.02184537]]","[[ 0.83406595  0.83406595  0.83406595  0.83406595  0.83406595  0.9549559
   1.04730715  1.0456826   1.17176365  0.8936089   1.04142158  0.94492233
   1.00307856  1.00418615  1.08378939  1.06502275  1.1430632 ]
 [ 0.19664057  0.19664057  0.19664057  0.19664057  0.19664057  0.00842969
   0.33136989 -0.17958037  0.51025578 -0.078574    0.39062411  0.05997323
   0.27073126  0.02997708  0.24352328 -0.02654021  0.21711626]
 [ 1.56831009  1.56831009  1.56831009  1.56831009  1.56831009  1.38267062
   1.39019136  1.16166504  1.17597651  0.9710812   0.99443142  0.79813341
   0.80471878  0.36695256  0.36544623 -0.03957289 -0.03355803]]","[[-0.68233348 -0.68233348 -0.68233348 -0.68233348 -0.68233348 -0.51465269
  -0.56951868 -0.47089269 -0.58867881 -0.6027779  -0.41474349 -0.55463363
  -0.62507448 -0.61525183 -0.62312307 -0.5203435  -0.53273552]
 [ 1.07739013  1.07739013  1.07739013  1.07739013  1.07739013  1.08011698
   1.36846415  1.02847568  1.4188265   0.93640103  1.30324764  1.13635617
   1.33567264  1.04956981  1.31783222  1.0339117   1.36118939]
 [ 1.53329103  1.53329103  1.53329103  1.53329103  1.53329103  1.3577879
   1.36382791  1.06060973  1.07410094  0.85530795  0.94077108  0.79996855
   0.81145075  0.39800667  0.40247236 -0.01851025  0.00912591]]","[[-1.69493355 -1.69493355 -1.69493355 -1.69493355 -1.69493355 -1.41963581
  -1.78668918 -0.99995066 -1.69306326 -1.36068161 -1.62696462 -1.58873464
  -1.79779073 -1.65824012 -1.68572204 -1.65601085 -1.5324381 ]
 [ 1.04735177  1.04735177  1.04735177  1.04735177  1.04735177  1.1484528
   0.96906072  1.18329709  0.92017531  1.15256792  1.04768982  1.1554237
   1.01739413  1.11376156  0.98314561  1.08201116  0.90378138]
 [ 1.46081825  1.46081825  1.46081825  1.46081825  1.46081825  1.32551147
   1.26413869  1.08288555  0.99827427  1.09322673  1.0571101   0.7648178
   0.76798337  0.36756707  0.37776068  0.05845526  0.10535459]]"
"[[ 1.82560252e-01  1.82560252e-01  1.82560252e-01  1.82560252e-01
   1.82560252e-01 -1.30589113e-01  1.69253455e-01 -2.19635287e-01
   2.44725583e-01 -8.84670384e-02  2.42874246e-01 -2.09042588e-02
   1.44836857e-01 -2.41521388e-03  2.12821114e-01  7.87672022e-02
   2.25958061e-01]
 [ 1.82463644e-01  1.82463644e-01  1.82463644e-01  1.82463644e-01
   1.82463644e-01  1.40334951e-01 -3.09977814e-04  1.16316056e-01
  -1.21236399e-01  1.97953720e-01  1.64109446e-02  1.33334653e-01
   1.27365143e-02  1.16787925e-01  7.25945157e-02  1.33996392e-02
  -9.28089991e-03]
 [ 1.49814885e+00  1.49814885e+00  1.49814885e+00  1.49814885e+00
   1.49814885e+00  1.30232921e+00  1.31821692e+00  1.00293060e+00
   1.04041017e+00  8.17280344e-01  8.48517721e-01  7.72887218e-01
   7.72692164e-01  3.62785863e-01  3.51608302e-01  3.29988755e-05
  -4.87626724e-02]]","[[ 0.83618301  0.83618301  0.83618301  0.83618301  0.83618301  0.96545956
   1.05686821  1.03543834  1.17203465  0.87442944  1.00058036  0.95220399
   1.04223571  0.99155479  1.07914756  1.05063271  1.15011932]
 [ 0.24443829  0.24443829  0.24443829  0.24443829  0.24443829  0.04977355
   0.36217955 -0.14538894  0.52748368 -0.08196577  0.51785596  0.05970642
   0.2818473   0.03272089  0.25917783 -0.0056455   0.21820025]
 [ 1.57458997  1.57458997  1.57458997  1.57458997  1.57458997  1.39157295
   1.37445937  1.15662543  1.14724037  0.95996257  0.92614129  0.80835698
   0.80915163  0.37006503  0.36857359 -0.03966445 -0.03127616]]","[[-1.69132716 -1.69132716 -1.69132716 -1.69132716 -1.69132716 -1.8458792
  -1.87648237 -1.56502535 -1.8224148  -0.34098939 -1.52646467 -1.82810021
  -1.81509379 -1.81789915 -1.78326197 -1.67520445 -1.64223652]
 [ 0.82312678  0.82312678  0.82312678  0.82312678  0.82312678  1.05665555
   0.77035973  1.14192222  0.68852229  1.03900287  0.70495427  1.05703106
   0.84769593  1.07181304  0.79676216  1.11118293  0.79490372]
 [ 1.47398538  1.47398538  1.47398538  1.47398538  1.47398538  1.30787367
   1.27622065  1.09876977  1.01566924  1.19000999  0.96493178  0.7557476
   0.7486889   0.35976047  0.34557717  0.05695038  0.04004033]]","[[-0.74643135 -0.74643135 -0.74643135 -0.74643135 -0.74643135 -0.56993424
  -0.5206599  -0.44522385 -0.41614097 -0.38202418 -0.4182181  -0.55915533
  -0.53348757 -0.5501579  -0.43387132 -0.50711562 -0.34453047]
 [ 1.12107646  1.12107646  1.12107646  1.12107646  1.12107646  1.25815056
   1.35266964  1.24050587  1.30555785  1.19976117  1.22607646  1.30562073
   1.39565819  1.16897234  1.3725558   1.11519284  1.35337802]
 [ 1.53107627  1.53107627  1.53107627  1.53107627  1.53107627  1.36341547
   1.37553393  1.06234565  1.08313755  0.82184202  0.8623538   0.8105769
   0.82620466  0.42566013  0.48696241 -0.0159823   0.12026192]]"
"[[ 0.19339909  0.19339909  0.19339909  0.19339909  0.19339909 -0.06702659
   0.22961077 -0.17005068  0.31139326 -0.05178471  0.31406148  0.00173234
   0.18717267  0.00316242  0.21788137  0.00647344  0.24327592]
 [ 0.08595097  0.08595097  0.08595097  0.08595097  0.08595097  0.1218545
  -0.01303631  0.02914439 -0.08121111  0.15282048  0.0821159   0.08625282
  -0.00371278  0.11997568  0.03379024  0.09225849  0.01135458]
 [ 1.49563531  1.49563531  1.49563531  1.49563531  1.49563531  1.30754778
   1.31234272  1.0158736   1.04020158  0.79940462  0.85966833  0.75007776
   0.75372871  0.34455129  0.36030216 -0.0501697  -0.04610487]]","[[ 0.81808926  0.81808926  0.81808926  0.81808926  0.81808926  0.99323356
   1.04401905  1.07004395  1.12622068  1.0113543   1.06363401  1.03840441
   1.09727924  1.01144245  1.06807784  1.05674064  1.14432327]
 [ 0.26808978  0.26808978  0.26808978  0.26808978  0.26808978  0.08166041
   0.41056241 -0.06578364  0.5031639  -0.13220903  0.58071384  0.05973099
   0.26143952  0.03302747  0.24585165 -0.00804639  0.22229519]
 [ 1.55333404  1.55333404  1.55333404  1.55333404  1.55333404  1.39232918
   1.36071313  1.11103085  1.09162046  0.87334322  0.84897608  0.78417918
   0.79835186  0.3710293   0.36794534 -0.02775278 -0.03233302]]","[[-1.59610075 -1.59610075 -1.59610075 -1.59610075 -1.59610075 -1.81763182
  -1.99150846 -1.72019797 -1.82407369 -1.36122229  6.0335097  -1.73391837
  -1.82802255 -1.61533104 -1.77096003 -1.60098429 -1.62106311]
 [ 0.65405461  0.65405461  0.65405461  0.65405461  0.65405461  0.88341874
   0.58333158  1.05595897  0.50954326  0.97947676  0.49568638  0.87362363
   0.67052253  0.89100368  0.70638873  0.9194756   0.74072097]
 [ 1.50734197  1.50734197  1.50734197  1.50734197  1.50734197  1.29670939
   1.265585    1.11067463  1.00366586  1.17103092  1.71433658  0.74738098
   0.73825337  0.35720325  0.35302762  0.03207273  0.04339479]]","[[-0.63633847 -0.63633847 -0.63633847 -0.63633847 -0.63633847 -0.52156011
  -0.57399615 -0.46168762 -0.50936492 -0.46872906 -0.50698802 -0.53647916
  -0.588819   -0.44991011 -0.66378493 -0.3717243  -0.42678436]
 [ 1.14102259  1.14102259  1.14102259  1.14102259  1.14102259  1.31428768
   1.28584221  1.32372152  1.28261347  1.21377401  1.19864748  1.33801091
   1.35054763  1.27667674  1.40434388  1.35561518  1.45853972]
 [ 1.53782633  1.53782633  1.53782633  1.53782633  1.53782633  1.3511172
   1.36199734  1.04261892  1.06101145  0.84398026  0.83806228  0.80691824
   0.81825024  0.39957936  0.40315438 -0.00408412 -0.01957361]]"
"[[ 0.2951265   0.2951265   0.2951265   0.2951265   0.2951265  -0.01042441
   0.34791388 -0.07311443  0.42654799 -0.00180982  0.3786708   0.07841907
   0.29757115  0.03287407  0.28145523 -0.01078301  0.23474668]
 [ 0.16181732  0.16181732  0.16181732  0.16181732  0.16181732  0.02197169
   0.00758496 -0.02607856 -0.04666943  0.12131387  0.07255375  0.04773279
   0.02932558  0.10463862  0.04745591  0.02456956  0.04766329]
 [ 1.50024372  1.50024372  1.50024372  1.50024372  1.50024372  1.31233839
   1.30515941  1.01974262  1.03025452  0.83824049  0.85664917  0.76929566
   0.73297514  0.35239007  0.29859687 -0.07734603 -0.09036882]]","[[ 0.87223854  0.87223854  0.87223854  0.87223854  0.87223854  1.07754685
   1.04081513  1.18249821  1.09232974  1.04293152  0.98009724  1.08368194
   1.07183263  1.14987467  1.10247114  1.20983715  1.14518628]
 [ 0.17690307  0.17690307  0.17690307  0.17690307  0.17690307  0.00173087
   0.3454164  -0.10031537  0.42122111 -0.08919605  0.45411854  0.00602995
   0.2491032  -0.04494036  0.23417065 -0.1163424   0.21917161]
 [ 1.5712049   1.5712049   1.5712049   1.5712049   1.5712049   1.39466102
   1.36586256  1.11455547  1.07516309  0.89307991  0.83795262  0.80477312
   0.79354901  0.36655127  0.36803784 -0.05505586 -0.03906733]]","[[-1.46237967 -1.46237967 -1.46237967 -1.46237967 -1.46237967 -1.20035012
  -1.20347223 -1.31411356 -1.33736646 -1.16614583 -1.15243308 -1.3181751
  -1.32100172 -1.27469442 -1.27566068 -1.15930783 -1.38224768]
 [ 0.51024008  0.51024008  0.51024008  0.51024008  0.51024008  0.71515989
   0.65493096  0.89366039  0.52268394  0.73295565  0.34608837  0.65979546
   0.60915918  0.50186111  0.48532189  0.57981963  0.7006969 ]
 [ 1.47438227  1.47438227  1.47438227  1.47438227  1.47438227  1.28566987
   1.27568513  1.07982706  0.97477605  1.1666726   1.03054015  0.76922358
   0.7194819   0.52392309  0.51566176  0.05389467  0.10921721]]","[[-0.52644622 -0.52644622 -0.52644622 -0.52644622 -0.52644622 -0.30466699
  -0.66704582 -0.24473523 -0.74616601 -0.22718199 -0.70755721 -0.4114196
  -0.61165136 -0.23650954 -0.56536334 -0.38943993 -0.65594242]
 [ 1.13421583  1.13421583  1.13421583  1.13421583  1.13421583  1.35863711
   1.32866276  1.43562648  1.32397794  1.51183378  1.14162415  1.39880294
   1.33368029  1.29289821  1.24223856  1.36816599  1.41507798]
 [ 1.52632595  1.52632595  1.52632595  1.52632595  1.52632595  1.37849071
   1.36283057  1.05064871  1.04116043  0.77064345  0.89846265  0.78769579
   0.79976184  0.41073179  0.50379091 -0.02073878  0.01318321]]"
"[[ 0.92578204  0.92578204  0.92578204  0.92578204  0.92578204  1.14768457
   1.0805639   1.30435509  1.10918359  1.16028821  0.9531131   1.13953545
   1.10608746  1.20998963  1.11609623  1.27808876  1.14264569]
 [-0.04127251 -0.04127251 -0.04127251 -0.04127251 -0.04127251 -0.19921205
   0.1209222  -0.27935552  0.22457427 -0.32584014  0.2528927  -0.1474503
   0.08263581 -0.13210574  0.15455675 -0.11381115  0.21689177]
 [ 1.56968916  1.56968916  1.56968916  1.56968916  1.56968916  1.36728637
   1.37696125  1.0967647   1.08222817  0.88086815  0.85898815  0.77975406
   0.79241709  0.35496273  0.3710691  -0.05832523 -0.02406429]]","[[ 0.14390465  0.14390465  0.14390465  0.14390465  0.14390465  0.02139381
   0.3472662  -0.05861046  0.44593359 -0.01014962  0.37499008  0.07398796
   0.26762833  0.02970346  0.26970169  0.08099262  0.22960062]
 [ 0.15113779  0.15113779  0.15113779  0.15113779  0.15113779 -0.05814707
  -0.00959709 -0.11927422 -0.09396217  0.03128978  0.01709415 -0.00202985
   0.0377696   0.0210371   0.00486205 -0.01858867 -0.11152373]
 [ 1.48963744  1.48963744  1.48963744  1.48963744  1.48963744  1.32065961
   1.30598247  1.03604449  1.03355171  0.84177035  0.87504209  0.79296406
   0.78608072  0.38696496  0.36070381  0.06192833 -0.01649759]]","[[-1.13091173 -1.13091173 -1.13091173 -1.13091173 -1.13091173 -1.1587325
  -1.13285549 -0.99121499 -0.94712793 -0.90031653 -0.85092279 -1.24930345
  -1.24420131 -1.22886083 -1.23922466 -1.09344537 -1.20141864]
 [ 0.4718576   0.4718576   0.4718576   0.4718576   0.4718576   0.60411967
   0.42192957  0.61831033  0.31378257  0.43871874  0.1745807   0.51131515
   0.41305307  0.44770719  0.29669738  0.54406224  0.24569054]
 [ 1.4038659   1.4038659   1.4038659   1.4038659   1.4038659   1.31964239
   1.25865041  1.12464747  0.99261158  1.20514061  1.12520271  0.71548411
   0.69434584  0.384797    0.36908241  0.02023179  0.12394494]]","[[-0.37928755 -0.37928755 -0.37928755 -0.37928755 -0.37928755 -0.25814455
  -0.55394805 -0.19735721 -0.6677544  -0.14035802 -0.5179001  -0.357514
  -0.5575515  -0.28771445 -0.48557673 -0.39005551 -0.55289793]
 [ 1.08554718  1.08554718  1.08554718  1.08554718  1.08554718  1.37481014
   1.26204794  1.44814743  1.25919795  1.31316013  1.10336167  1.40931252
   1.25945529  1.31017784  1.14665671  1.36914039  1.25212624]
 [ 1.53572914  1.53572914  1.53572914  1.53572914  1.53572914  1.40624237
   1.39040179  1.07855259  1.09479178  0.82925032  0.93138209  0.83775607
   0.80213374  0.44304071  0.43392614  0.00302879  0.00817912]]"
"[[ 0.9718443   0.9718443   0.9718443   0.9718443   0.9718443   1.17104412
   1.11123419  1.28722623  1.15916509  1.26029457  1.00822419  1.18569227
   1.11874502  1.23373888  1.0736889   1.28240871  1.10585382]
 [-0.23272257 -0.23272257 -0.23272257 -0.23272257 -0.23272257 -0.34110984
  -0.01608158 -0.397771    0.07981859 -0.45600099  0.11915705 -0.22293432
  -0.00796906 -0.17073404 -0.00900957 -0.11997531  0.12515608]
 [ 1.55894482  1.55894482  1.55894482  1.55894482  1.55894482  1.3589931
   1.38476368  1.07055516  1.11256812  0.82633657  0.8872326   0.81253738
   0.84727464  0.37209027  0.41063259 -0.031692    0.19911121]]","[[ 0.03627587  0.03627587  0.03627587  0.03627587  0.03627587 -0.0489776
   0.27520812 -0.07479751  0.41310582 -0.06754097  0.29547879  0.03445875
   0.25473183  0.02907413  0.24115083  0.09156833  0.2327043 ]
 [ 0.08585825  0.08585825  0.08585825  0.08585825  0.08585825 -0.17353133
  -0.05180102 -0.24863637 -0.13362371 -0.11015284  0.00316096 -0.16587875
  -0.11260664 -0.16476817 -0.03874154 -0.17867947 -0.00354431]
 [ 1.46850713  1.46850713  1.46850713  1.46850713  1.46850713  1.31162252
   1.33357537  1.01383994  1.06859546  0.82913418  0.90422184  0.75091838
   0.73194335  0.35409698  0.35806826 -0.02184211 -0.03346956]]","[[-1.0106091  -1.0106091  -1.0106091  -1.0106091  -1.0106091  -1.04170996
  -1.01420341 -0.8117     -0.78491571 -0.75171888 -0.6982437  -1.07149541
  -1.16518001 -1.05786036 -1.13657878 -1.1564059  -1.13055063]
 [ 0.17412462  0.17412462  0.17412462  0.17412462  0.17412462  0.31697471
   0.12391917  0.28216428  0.05375684  0.05452745 -0.25474015  0.27891575
   0.11732678  0.28562168  0.02212213  0.39562809  0.01681089]
 [ 1.43958758  1.43958758  1.43958758  1.43958758  1.43958758  1.30004879
   1.23636717  1.113313    1.0173092   1.26655074  1.12522685  0.75322422
   0.71349208  0.36871172  0.33796616  0.15374228 -0.01294527]]","[[-0.31070509 -0.31070509 -0.31070509 -0.31070509 -0.31070509 -0.20438161
  -0.4919132  -0.14208766 -0.56038669 -0.12657734 -0.31267795 -0.3141028
  -0.45616087 -0.28377968 -0.3865168  -0.21496162 -0.30541611]
 [ 0.98925278  0.98925278  0.98925278  0.98925278  0.98925278  1.30935451
   1.12154341  1.31102252  1.08573913  1.05098909  0.97664126  1.31635122
   1.1644582   1.27929083  1.03652356  1.26113543  0.96124722]
 [ 1.53776404  1.53776404  1.53776404  1.53776404  1.53776404  1.38681531
   1.3639693   1.05155223  1.06431422  0.97116547  0.96963081  0.80474277
   0.80611725  0.42402469  0.41471167  0.05613809 -0.00435422]]"
